"","long","lat","Species"
"OAK-MOR-001261",-91.63996,43.90292,"Quercus macrocarpa"
"OAK-MOR-001263",-99.1604,49.76137,"Quercus macrocarpa"
"OAK-MOR-001264",-97.24911,49.85783,"Quercus macrocarpa"
"OAK-MOR-001265",-91.14288,46.0259,"Quercus macrocarpa"
"OAK-MOR-001266",-98.58906,38.963586,"Quercus macrocarpa"
"OAK-MOR-001270",-89.44535,37.51639,"Quercus macrocarpa"
"OAK-MOR-001271",-86.41257,38.7362,"Quercus macrocarpa"
"OAK-MOR-001282",-73.41208957,42.16664935,"Quercus macrocarpa"
"OAK-MOR-001286",-73.23756963,44.40068135,"Quercus macrocarpa"
"OAK-MOR-001298",-94.8052,38.98007,"Quercus macrocarpa"
