INDEX	Specimen CODE	collectionNumber	Alt_Coll_No	LABEL_Species_author	Cleaned_NAMES-USE-THIS	id_modifier	Genus	Species_ept	collectionDate	collectors	Material type	Received by MOR	country	state/province	substate	substateRank	site	habitat	associates	Flower	Fruit	Veg	MatureBuds	DBH-cm	Height-m	plantAttributesOther	elevation	elevationSource	determinationOriginal	subsequentDetermination	detBy	detDate	determinationNotes	sourceInstitution	livingCollectionsNumber	OrigSourceInfo	Original Source- Cultivated	waypoint	latitude.orig	longitude.orig	datum	utm_zone	utm_northing	utm_easting	Altitude	coordinatesSource	photos	Collecting_Extracting notes	Expedition	Project	DNA_location	voucher1	voucher2	voucher3	otherVouchers	MOR_Acc_Num	Voucher_Notes	MOR_Barcode	MorphAcc_Num	Recollect_Date	Recollect_Num	Recollect_Collecters	Sent to Floragenex	RAD Batch.No	RAD sequencing notes	TEMP	Mira used for:	Wild_Arb_GH_Collected	Paper References	latitude_georef	longitude_georef	Georeference_source	country-georef	state_province_georef	County_georef	City_georef	Tip_labels 	Andrews Paper	Voucher Imaged	SPECIES-LINK-TO-TAXONOMY (no vars)	Cronn CP Sequenced	SRA_bioproject_accession	SRA_biosample_accession	SRA_library_ID	SRA_title_correct_LOCALITY_INFO	SRA_filename	SRA_Publication	SRA_SEQUENCES USED IN 	SRA_NOTES	Sequenced on 	Sequencing Summary	Floragenex Lib.No	EXTRACTION LABELING
34	QUE000034	JCB-MX-MI-ES-33		Quercus scytophylla Liebm.	#N/A		Quercus	scytophylla	40656	Jeannine Cavender-Bares			Mexico	Michoacan			La Escalera													Q. scytophylla Liebm.	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus scytophylla Liebm.													
35	QUE000035	JCB-MX-MI-MO-34		Quercus sp. L.	#N/A		Quercus		40656	Jeannine Cavender-Bares			Mexico	Michoacan			Parque Nacional Morelos Km 23 east of Morelia												Q. castanea? immature leaves 	Q. sp	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus sp. L.													
36	QUE000036	JCB-MX-MI-MO-35		Quercus castanea Née	#N/A		Quercus	castanea	40656	Jeannine Cavender-Bares			Mexico	Michoacan			Parque Nacional Morelos Km 23 east of Morelia												Q. castanea	Q. castanea	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus castanea Née													
37	QUE000037	JCB-MX-MI-MO-36		Quercus obtusata Bonpl.	#N/A		Quercus	obtusata	40656	Jeannine Cavender-Bares			Mexico	Michoacan			Parque Nacional Morelos Km 23 east of Morelia												Q. glaucoides?????	Q. obtusata H&B	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus obtusata Bonpl.													
38	QUE000038	JCB-MX-MI-MO-37		Quercus castanea Née	#N/A		Quercus	castanea	40656	Jeannine Cavender-Bares			Mexico	Michoacan			Parque Nacional Morelos Km 23 east of Morelia												Q. castanea	Q. castanea	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus castanea Née													
39	QUE000039	JCB-MX-MI-MO-38		Quercus obtusata Bonpl.	#N/A		Quercus	obtusata	40656	Jeannine Cavender-Bares			Mexico	Michoacan			Parque Nacional Morelos Km 23 east of Morelia												Q. glaucoides?????	Q. obtusata	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus obtusata Bonpl.													
40	QUE000040	JCB-MX-MI-MO-39		Quercus castanea Née	#N/A		Quercus	castanea	40656	Jeannine Cavender-Bares			Mexico	Michoacan			Parque Nacional Morelos Km 23 east of Morelia												unique spp	Q. castanea Nee	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus castanea Née													
41	QUE000041	JCB-MX-MI-MO-40		Quercus castanea Née	#N/A		Quercus	castanea	40656	Jeannine Cavender-Bares			Mexico	Michoacan			Parque Nacional Morelos Km 23 east of Morelia												Q. castanea	Q. castanea	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus castanea Née													
42	QUE000042	JCB-MX-MI-MO-41		Quercus castanea Née	#N/A		Quercus	castanea	40656	Jeannine Cavender-Bares			Mexico	Michoacan			Parque Nacional Morelos Km 23 east of Morelia													Q. castanea	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus castanea Née													
43	QUE000043	JCB-MX-MI-MO-42		Quercus castanea Née	#N/A		Quercus	castanea	40656	Jeannine Cavender-Bares			Mexico	Michoacan			Parque Nacional Morelos Km 23 east of Morelia												unique spp	Q. castanea	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus castanea Née													
44	QUE000044	JCB-MX-MI-MO-43		Quercus castanea Née	#N/A		Quercus	castanea	40656	Jeannine Cavender-Bares			Mexico	Michoacan			Parque Nacional Morelos Km 23 east of Morelia												Q. castanea	Q. castanea	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus castanea Née													
45	QUE000045	JCB-MX-MI-MO-44		Quercus obtusata Bonpl.	#N/A		Quercus	obtusata	40656	Jeannine Cavender-Bares			Mexico	Michoacan			Parque Nacional Morelos Km 23 east of Morelia												Q. glaucoides?????	Q. obtusata H&B	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus obtusata Bonpl.													
46	QUE000046	JCB-MX-MI-MO-45		Quercus castanea Née	#N/A		Quercus	castanea	40656	Jeannine Cavender-Bares			Mexico	Michoacan			Parque Nacional Morelos Km 23 east of Morelia												Q. castanea	Q. castanea	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus castanea Née													
47	QUE000047	JCB-MX-MI-MO-46		Quercus castanea Née	#N/A		Quercus	castanea	40656	Jeannine Cavender-Bares			Mexico	Michoacan			Parque Nacional Morelos Km 23 east of Morelia												Q. castanea	Q. castanea	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus castanea Née													
48	QUE000048	JCB-MX-MI-MO-47		Quercus castanea Née	#N/A		Quercus	castanea	40656	Jeannine Cavender-Bares			Mexico	Michoacan			Parque Nacional Morelos Km 23 east of Morelia												Q. castanea	Q. castanea	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus castanea Née													
49	QUE000049	JCB-MX-MI-MO-48		Quercus obtusata Bonpl.	#N/A		Quercus	obtusata	40656	Jeannine Cavender-Bares			Mexico	Michoacan			Parque Nacional Morelos Km 23 east of Morelia												magnolifolia resinosa group	Q. obtusata H&B	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus obtusata Bonpl.													
