DNA_TUBE_LABELS	SPECIMEN CODE	DNA all used up (tube tossed)	AHeditName	Used in Oaks of Americas study	COLLECTOR NUMBER	SPECIES	Collector Notes/Provin.	EXTRACTION DATE	Qubit tube A	Tube A current status	Qubit Tube B	Tube B current status	Nano lite: TUBE A 	tube A FM nano	Nano TUBE B 	Tissue Mass	A260/A280 tube A	A260/A280 tube B	Elution Volume (µl) tube3 a	Elution Volume B tubes	total ~µg in tube A	total ~µg in tube B	Total µg btwn A+ B	New Conc.	LOCATION_OF_DNA	Collector_Notes	Project	SPECIES.no.authors	Section	DNA extraction sheet
OAK-MOR-000799				NO, bur oak hybridization	WI-PINERIVER-NS33 	Quercus macrocarpa Michx.		8/11/2015	44		5.04								100	50							Burr oak hybridization			
OAK-MOR-000800				NO, bur oak hybridization	Alan Whittemore #15-040	Quercus		8/11/2015	55		59								100	50							Burr oak hybridization			
OAK-MOR-000801				NO, bur oak hybridization	Alan Whittemore #15-041	Quercus		8/11/2015	19		15.4								100	50							Burr oak hybridization			
OAK-MOR-000802				NO, bur oak hybridization	Alan Whittemore #15-042-1	Quercus		8/11/2015	52		18								100	50							Burr oak hybridization			
OAK-MOR-000803				NO, bur oak hybridization	Alan Whittemore #15-042-2	Quercus		8/11/2015	12.2		4.2								100	50							Burr oak hybridization			
OAK-MOR-000804				NO, bur oak hybridization	Alan Whittemore #15-042-3	Quercus		8/11/2015	12.7		7.1								100	50							Burr oak hybridization			
OAK-MOR-000805				NO, bur oak hybridization	Alan Whittemore #15-042-4	Quercus		8/11/2015	51		37.2								100	50							Burr oak hybridization			
OAK-MOR-000806				NO, bur oak hybridization	Alan Whittemore #15-042-5	Quercus		8/11/2015	8.9		2.93								100	50							Burr oak hybridization			
OAK-MOR-000807				NO, bur oak hybridization	Alan Whittemore #15-042-6	Quercus		8/11/2015	48.6		9.86								100	50							Burr oak hybridization			
OAK-MOR-000808				NO, bur oak hybridization	Alan Whittemore #15-042-7	Quercus		8/11/2015	40.5		18.4								100	50							Burr oak hybridization			
OAK-MOR-000809				NO, bur oak hybridization	Alan Whittemore #15-042-8	Quercus		8/11/2015	7.81		4.92								100	50							Burr oak hybridization			
OAK-MOR-000810				NO, bur oak hybridization	Alan Whittemore #15-042-9	Quercus		8/12/2015	13.7		6.92								100	50							Burr oak hybridization			
OAK-MOR-000811				NO, bur oak hybridization	Alan Whittemore #15-042-10	Quercus		8/12/2015	23.4		11.6								100	50							Burr oak hybridization			
OAK-MOR-000812				NO, bur oak hybridization	Alan Whittemore #15-042-11	Quercus		8/12/2015	5.39		4.8								100	50							Burr oak hybridization			
OAK-MOR-000813				NO, bur oak hybridization	Alan Whittemore #15-042-12	Quercus		8/12/2015	13.1		4.12								100	50							Burr oak hybridization			
OAK-MOR-000814				NO, bur oak hybridization	Alan Whittemore #15-042-13	Quercus		8/12/2015	5.66		2.65								100	50							Burr oak hybridization			
OAK-MOR-000815				NO, bur oak hybridization	Alan Whittemore #15-042-14	Quercus		8/12/2015	5.52		3.81								100	50							Burr oak hybridization			
OAK-MOR-000816				NO, bur oak hybridization	Alan Whittemore #15-042-15	Quercus		8/12/2015	8.16		4.8								100	50							Burr oak hybridization			
OAK-MOR-000817				NO, bur oak hybridization	Alan Whittemore #15-042-16	Quercus		8/12/2015	7.64		6.31								100	50							Burr oak hybridization			
OAK-MOR-000818				NO, bur oak hybridization	Alan Whittemore #15-042-17	Quercus		8/12/2015	7.36		3.41								100	50							Burr oak hybridization			
OAK-MOR-000819				NO, bur oak hybridization	Alan Whittemore #15-042-18	Quercus		8/12/2015	10.7		8.81								100	50							Burr oak hybridization			
OAK-MOR-000820				NO, bur oak hybridization	Alan Whittemore #15-042-19	Quercus		8/12/2015	13.8		5.49								100	50							Burr oak hybridization			
OAK-MOR-000821				NO, bur oak hybridization	Alan Whittemore #15-042-20	Quercus		8/12/2015	12.1		1.61								100	50							Burr oak hybridization			
OAK-MOR-000822				NO, bur oak hybridization	Alan Whittemore #15-045	Quercus		8/12/2015	15.5		3.35								100	50							Burr oak hybridization			
OAK-MOR-000823				NO, bur oak hybridization	Alan Whittemore #15-047	Quercus		8/12/2015	16.8		3.92								100	50							Burr oak hybridization			
OAK-MOR-000824				NO, bur oak hybridization	Alan Whittemore #15-048	Quercus		8/12/2015	15.7		6.14								100	50							Burr oak hybridization			
OAK-MOR-000825				NO, bur oak hybridization	Alan Whittemore #15-049	Quercus		8/12/2015	4.48		4.36								100	50							Burr oak hybridization			
OAK-MOR-000826				NO, bur oak hybridization	Alan Whittemore #15-050 Tree1	Quercus		8/12/2015	20.3		12.6								100	50							Burr oak hybridization			
OAK-MOR-000827				NO, bur oak hybridization	Alan Whittemore #15-050 Tree2	Quercus		8/12/2015	41.4		12.6								100	50							Burr oak hybridization			
OAK-MOR-000828				NO, bur oak hybridization	Alan Whittemore #15-050 Tree3	Quercus		8/12/2015	8.29		2.92								100	50							Burr oak hybridization			
OAK-MOR-000829				NO, bur oak hybridization	Alan Whittemore #15-050 Tree4	Quercus		8/12/2015	11.8		2.95								100	50							Burr oak hybridization			
OAK-MOR-000830				NO, bur oak hybridization	Alan Whittemore #15-050 Tree5	Quercus		8/12/2015	22		8.92								100	50							Burr oak hybridization			
OAK-MOR-000831				NO, bur oak hybridization	Alan Whittemore #15-050 Tree6	Quercus		8/12/2015	4.12		3.59								100	50							Burr oak hybridization			
OAK-MOR-000832				NO, bur oak hybridization	Alan Whittemore #15-052 Tree1	Quercus		8/12/2015	17.4		5.54								100	50							Burr oak hybridization			
OAK-MOR-000833				NO, bur oak hybridization	Alan Whittemore #15-052 Tree2	Quercus		8/12/2015	23.7		7.63								100	50							Burr oak hybridization			
OAK-MOR-000834				NO, bur oak hybridization	Alan Whittemore #15-053	Quercus		8/13/2015	7.45		5.21								100	50							Burr oak hybridization			
OAK-MOR-000835				NO, bur oak hybridization	Alan Whittemore #15-056	Quercus		8/13/2015	7.26		15.1								100	50							Burr oak hybridization			
OAK-MOR-000836				NO, bur oak hybridization	Alan Whittemore #15-057(A)	Quercus		8/13/2015	24.5		10.2								100	50							Burr oak hybridization			
OAK-MOR-000837				NO, bur oak hybridization	Alan Whittemore #15-057(B)	Quercus		8/13/2015	8.24		2.4								100	50							Burr oak hybridization			
OAK-MOR-000838				NO, bur oak hybridization	Alan Whittemore #15-058	Quercus		8/13/2015	8.61		5.37								100	50							Burr oak hybridization			
OAK-MOR-000839				NO, bur oak hybridization	Alan Whittemore #15-060 Tree1	Quercus		8/13/2015	7.5		7.64								100	50							Burr oak hybridization			
OAK-MOR-000840				NO, bur oak hybridization	Alan Whittemore #15-060 Tree2	Quercus		8/13/2015	7.53		11.3								100	50							Burr oak hybridization			
OAK-MOR-000841				NO, bur oak hybridization	Alan Whittemore #15-063	Quercus		8/13/2015	8.04		6.7								100	50							Burr oak hybridization			
OAK-MOR-000842				NO, bur oak hybridization	Alan Whittemore #15-064	Quercus		8/13/2015	11.6		14.9								100	50							Burr oak hybridization			
OAK-MOR-000843				NO, bur oak hybridization	Alan Whittemore #15-066	Quercus		8/13/2015	12.7		10.8								100	50							Burr oak hybridization			
OAK-MOR-000844				NO, bur oak hybridization	Alan Whittemore #15-067	Quercus		8/13/2015	7.3		7.77								100	50							Burr oak hybridization			
OAK-MOR-000845				NO, bur oak hybridization	Alan Whittemore #15-068	Quercus		8/13/2015	16.7		12.2								100	50							Burr oak hybridization			
OAK-MOR-000846				NO, bur oak hybridization	Alan Whittemore #15-069	Quercus		8/13/2015	11.2		4.83								100	50							Burr oak hybridization			
OAK-MOR-000847				NO, bur oak hybridization	Alan Whittemore #15-070	Quercus		8/13/2015	8.64		6.76								100	50							Burr oak hybridization			
OAK-MOR-000848				NO, bur oak hybridization	Alan Whittemore #15-071	Quercus		8/13/2015	19.7		7.74								100	50							Burr oak hybridization			
OAK-MOR-000849				NO, bur oak hybridization	Alan Whittemore #15-072	Quercus		8/13/2015	15.4		9.74								100	50							Burr oak hybridization			
OAK-MOR-000850				NO, bur oak hybridization	Alan Whittemore #15-074 Tree1	Quercus		8/13/2015	5.46		4.84								100	50							Burr oak hybridization			
OAK-MOR-000851				NO, bur oak hybridization	Alan Whittemore #15-074 Tree2	Quercus		8/13/2015	10.2		6.64								100	50							Burr oak hybridization			
OAK-MOR-000852				NO, bur oak hybridization	Alan Whittemore #15-074 Tree3	Quercus		8/13/2015	14.5		8.16								100	50							Burr oak hybridization			
OAK-MOR-000853				NO, bur oak hybridization	Alan Whittemore #15-074 Tree4	Quercus		8/13/2015	3.39		10.2								100	50							Burr oak hybridization			
OAK-MOR-000854				NO, bur oak hybridization	Alan Whittemore #15-074 Tree5	Quercus		8/13/2015	8.6		3.6								100	50							Burr oak hybridization			
OAK-MOR-000855				NO, bur oak hybridization	Alan Whittemore #15-074 Tree6	Quercus		8/13/2015	5.27		4.85								100	50							Burr oak hybridization			
OAK-MOR-000856				NO, bur oak hybridization	Alan Whittemore #15-074 Tree7	Quercus		8/13/2015	19.2		24								100	50							Burr oak hybridization			
OAK-MOR-000857				NO, bur oak hybridization	Alan Whittemore #15-074 Tree9	Quercus		8/13/2015	4.82		8.83								100	50							Burr oak hybridization			
OAK-MOR-000858				NO, bur oak hybridization	Alan Whittemore #15-074 Tree10	Quercus		8/14/2015	6.3		19.7								100	50							Burr oak hybridization			
OAK-MOR-000859				NO, bur oak hybridization	Alan Whittemore #15-075	Quercus		8/14/2015	27.1		13.2								100	50							Burr oak hybridization			
OAK-MOR-000860				NO, bur oak hybridization	Alan Whittemore #15-078	Quercus		8/14/2015	25.5		21.7								100	50							Burr oak hybridization			
OAK-MOR-000861				NO, bur oak hybridization	Alan Whittemore #15-079	Quercus		8/14/2015	20.7		9.48								100	50							Burr oak hybridization			
OAK-MOR-000862				NO, bur oak hybridization	Alan Whittemore #15-081	Quercus		8/14/2015	28.5		28.5								100	50							Burr oak hybridization			
OAK-MOR-000863				NO, bur oak hybridization	Alan Whittemore #15-082	Quercus		8/14/2015	18.5		7.03								100	50							Burr oak hybridization			
OAK-MOR-000864				NO, bur oak hybridization	Alan Whittemore #15-083	Quercus		8/14/2015	8.82		9.31								100	50							Burr oak hybridization			
OAK-MOR-000865				NO, bur oak hybridization	Alan Whittemore #15-084	Quercus		8/14/2015	24.8		15								100	50							Burr oak hybridization			
OAK-MOR-000866				NO, bur oak hybridization	Alan Whittemore #15-085	Quercus		8/14/2015	15.1		9.24								100	50							Burr oak hybridization			
OAK-MOR-000867				NO, bur oak hybridization	Alan Whittemore #15-087	Quercus		8/14/2015	30.1		10.2								100	50							Burr oak hybridization			
OAK-MOR-000868				NO, bur oak hybridization	Alan Whittemore #15-089	Quercus		8/14/2015	15.6		7.86								100	50							Burr oak hybridization			
OAK-MOR-000869				NO, bur oak hybridization	Alan Whittemore #15-090	Quercus		8/14/2015	8.79		22.3								100	50							Burr oak hybridization			
OAK-MOR-000870				NO, bur oak hybridization	Alan Whittemore #15-092	Quercus		8/17/2015	30.5		13.4								100	50							Burr oak hybridization			
OAK-MOR-000871				yes	J85 (Matt Kaproth) 	unknown Mexican red oak		8/17/2015	10.9		1.38								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000872				yes	J90 (Matt Kaproth)	unknown Mexican red oak		8/17/2015	14		2.86								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000873				yes	Quercus rugosa from AZ sky islands (Matt Kaproth) [UMN common garden species]	Quercus rugosa Née	 	8/17/2015	48.8		10.4								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000874				yes	Quercus ilex (Matt Kaproth) [UMN common garden species]	Quercus ilex		8/17/2015	20.9		6.23								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000875				yes	Quercus cerris (Matt Kaproth) [UMN common garden species]	Quercus cerris		8/17/2015	30		7.14								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000876				yes	Quercus acutissima (Matt Kaproth) [UMN common garden species]	Quercus acutissima		8/17/2015	19.4		3.97								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000877					Matt Lobdell #001	Quercus oglethorpensis Duncan		8/17/2015	4.3		4.59								100	50										
OAK-MOR-000878					Matt Lobdell #002	Quercus oglethorpensis Duncan		8/17/2015	5.21		10.1								100	50										
OAK-MOR-000879					Matt Lobdell #003	Quercus  sinuata (austrina??)		8/17/2015	11.3		3.96								100	50										
OAK-MOR-000880					Matt Lobdell #011	Quercus boyntonii Beadle		8/17/2015	27		11.2								100	50										
OAK-MOR-000881					Matt Lobdell #005	Quercus oglethorpensis Duncan		8/17/2015	2.9		3.38								100	50										
OAK-MOR-000882					Matt Lobdell #006	Quercus oglethorpensis Duncan		8/18/2015	19		9.86								100	50										
OAK-MOR-000883					Matt Lobdell #007	Quercus alba		8/18/2015	39.5		16.4								100	50										
OAK-MOR-000884					Matt Lobdell #008	Quercus nigra		8/18/2015	9.94		7.95								100	50										
OAK-MOR-000885					Matt Lobdell #009	Quercus oglethorpensis Duncan		8/18/2015	9.5		6.11								100	50										
OAK-MOR-000886					Matt Lobdell #010	Quercus austrina 		8/18/2015	30.1		20.3								100	50										
OAK-MOR-000887					J85 (Matt Kaproth) repeat of OAK-MOR-871	unknown Mexican red oak		8/18/2015	14.7		2.52								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000888					Matt Lobdell #012	Quercus oglethorpensis × stellata?		8/18/2015	11.6		5.24								100	50										
OAK-MOR-000889					Matt Lobdell #013	Quercus		8/18/2015	24.4		7.79								100	50										
OAK-MOR-000890					Alan Whittemore #15-070, repeat of OAK-MOR-847	Quercus		8/18/2015	33.9		4.2								100	50							Burr oak hybridization			
OAK-MOR-000891					Alan Whittemore #15-074 tree 1, repeat of OAK-MOR-850	Quercus		8/18/2015	32.8		3.63								100	50							Burr oak hybridization			
OAK-MOR-000892					A.Hipp #2015002	Quercus durifolia 		8/18/2015	12.9		4.65								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000893					A.Hipp #2015003	Quercus arizonica		8/18/2015	31.2		4.1								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000894					A.Hipp #2015005	Quercus elliptica		8/19/2015	31.7		9.42								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000895					A.Hipp #2015006	Quercus elliptica		8/19/2015	22.8		1.86								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000896					A.Hipp #2015007	Quercus candicans		8/19/2015	15.7		2.89								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000897					A.Hipp #2015008	Quercus subspathulata		8/19/2015	14.9		0.184								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000898					A.Hipp #2015009	Quercus aristatat		8/19/2015	24.4		3.98								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000899					A.Hipp #2015010	Quercus magnoliifolia		8/19/2015	32		13.4								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000900					A.Hipp #2015011	Quercus castanea		8/19/2015	14.9		3.09								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000901					A.Hipp #2015012	Quercus gentryi		8/19/2015	26.4		4.01								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000902					A.Hipp #2015013	Quercus obtusata		8/19/2015	39		16.5								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000903					A.Hipp #2015014	Quercus fulva		8/19/2015	35.6		6.56								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000904					A.Hipp #2015015	Quercus castanea		8/19/2015	40.2		26.1								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000905					A.Hipp #2015016	Quercus viminea		8/19/2015	6.28		1.75								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000906					A.Hipp #2015016	Quercus viminea		8/20/2015	5.07		2.36								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000907					A.Hipp #2015018	Quercus scytophylla		8/20/2015	23.5		6.53								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000908					A.Hipp #2015019	Quercus gentryi		8/20/2015	42.3		30.8								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000909					A.Hipp #2015020	Quercus splendens		8/20/2015	26.6		17.5								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000910					A.Hipp #2015021	Quercus acutifolia		8/20/2015	10.6		4.77								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000911					A.Hipp #2015022	Quercus crassifolia		8/20/2015	30.7		13.4								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000912					A.Hipp #2015023	Quercus sideroxyla		8/20/2015	28.1		6.89								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000913					A.Hipp #2015024	Quercus conzattii		8/20/2015	31.3		9.35								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000914					A.Hipp #2015025	Quercus eduardii		8/20/2015	20.6		4.52								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000915					A.Hipp #2015026	Quercus chihuahuensis		8/20/2015	47.4		27.3								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000916					A.Hipp #2015027	Quercus conzattii		8/20/2015	12.4		2.13								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000917					A.Hipp #2015028	Quercus eduardii		8/20/2015	27.4		6.97								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000918					A.Hipp #2015029	Q, eduardii		8/20/2015	24.9		7.47								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000919					A.Hipp #2015030	Quercus eduardii x Quercus conzattii		8/20/2015	39.5		5.7								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000920					A.Hipp #2015031	Quercus grisea Liebm.		8/20/2015	32		6.07								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000921					A.Hipp #2015032	Quercus arizonica		8/20/2015	22.7		2.65								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000922					A.Hipp #2015033	Quercus arizonica		8/20/2015	37.4		7.24								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000923					A.Hipp #2015034	Quercus arizonica		8/20/2015	12.3		1.22								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000924					A.Hipp #2015035	Quercus striatula		8/20/2015	41.2		16.4								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000925					A.Hipp #2015049	Quercus crassifolia 'xerica' 		8/20/2015	6.31		0.937								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000926					A.Hipp #2015037	Quercus urbanii		8/20/2015	32.6		2.52								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000927					A.Hipp #2015038	Quercus urbanii		8/20/2015	14.8		2.08								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000928					A.Hipp #2015039	Quercus jonesii		8/20/2015	13.6		1.4								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000929					A.Hipp #2015040	Quercus laeta		8/20/2015	20		3.77								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000930					A.Hipp #2015041	Quercus laeta 		8/21/2015	37.6		37.1								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000931					A.Hipp #2015076	Quercus chihuahuensis 		8/21/2015	37.7		27.1								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000932					A.Hipp #2015075	Quercus crassifolia 		8/21/2015	40.7		9.63								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000933					A.Hipp #2015044	Quercus resinosa 		8/21/2015	33.2		10.6								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000934					A.Hipp #2015045	Quercus depressipes 		8/21/2015	25.1		5.22								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000935					A.Hipp #2015046	Quercus conzattii 		8/21/2015	20.6		3.76								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000936					A.Hipp #2015074	Quercus sp. 		8/21/2015	36.7		27								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000937					A.Hipp #2015048	Quercus radiata 		8/21/2015	29.5		4.16								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000938					A.Hipp #2015049	Quercus crassifolia 'xerica' 		8/21/2015	20.7		4.33								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000939					A.Hipp #2015050	Quercus radiata 		8/21/2015	27.8		6.71								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000940					A.Hipp #2015051	Quercus sideroxyla 		8/21/2015	38.9		8.22								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000941					A.Hipp #2015052	Quercus arizonica 		8/21/2015	34.1		8.48								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000942					A.Hipp #2015053	Quercus viminea 		8/21/2015	23.1		3.92								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000943					A.Hipp #2015054	Quercus obtusata 		8/21/2015	25.8		16.4								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000944					A.Hipp #2015055	Quercus durifolia 		9/3/2015	13.3		8.63								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000945					A.Hipp #2015057	Quercus subspathulata 		9/3/2015	9.81		3.16								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000946					A.Hipp #2015058	Quercus fulva 		9/3/2015	13.2		2.84								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000947					A.Hipp #2015059	Quercus subspathulata 		9/3/2015	17.1		4.19								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000948					A.Hipp #2015073	Quercus castanea		9/3/2015	8.45		2.01								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000949					A.Hipp #2015061	Quercus viminea 		9/3/2015	2.6		1.33								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000950					A.Hipp #2015061	Quercus radiata 		9/3/2015	5.76		0.98								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000951					A.Hipp #2015064	Quercus laeta 		9/3/2015	17.4		3.02								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000952					A.Hipp #2015065	Quercus subspathulata 		9/3/2015	4.1		2.02								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000953					A.Hipp #2015066	Quercus subspathulata 		9/3/2015	8.16		5.6								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000954					A.Hipp #2015067	Quercus gentryi 		9/3/2015	6.73		3.21								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000955					A.Hipp #2015068	Quercus castanea 		9/3/2015	11.1		7.62								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000956					A.Hipp #2015069	Quercus planipocula 		9/24/2015	7.02		6.04								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000957					A.Hipp #2015070	Quercus sp. 		9/24/2015	7.51		6.01								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000958					A.Hipp #2015071	Quercus laeta 		9/24/2015	9.19		2.4								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000959					A.Hipp #2015072	Quercus crassifolia 		9/24/2015	17.7		3.24								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000960					A.Hipp #2015073	Quercus castanea 		9/24/2015	12.1		2.13								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000961					IL-CS-NS1	Quercus macrocarpa Michx.		9/24/2015	26.2		6.46								100	50							Burr oak hybridization			
OAK-MOR-000962					IL-CS-NS2	Quercus macrocarpa Michx.		9/24/2015	41.2		7.04								100	50							Burr oak hybridization			
OAK-MOR-000963					IL-CS-NS3	Quercus macrocarpa Michx.		9/24/2015	28.1		5.77								100	50							Burr oak hybridization			
OAK-MOR-000964					IL-CS-NS4	Quercus bicolor Willd.		9/24/2015	41.7		9.57								100	50							Burr oak hybridization			
OAK-MOR-000965					IL-CS-NS5	Quercus macrocarpa Michx.		9/24/2015	3.79										100	50							Burr oak hybridization			
OAK-MOR-000966					IL-CS-NS6	Quercus macrocarpa Michx.		9/24/2015	29		12.8								100	50							Burr oak hybridization			
OAK-MOR-000967					IL-CS-NS7	Quercus macrocarpa Michx.		9/24/2015	39.7		11.6								100	50							Burr oak hybridization			
OAK-MOR-000968					Matt Lobdell #005 (repeat of OAK-MOR-881)	Quercus oglethorpensis		9/25/2015	10.8		10.8								100	50										
OAK-MOR-000969					Matt Lobdell #008 (repeat of OAK-MOR-884)	Quercus nigra		9/25/2015	12.5		11.6								100	50										
OAK-MOR-000970					Matt Lobdell #009 (repeat of OAK-MOR-885)	Quercus oglethorpensis		9/25/2015	12.4		7.89								100	50										
OAK-MOR-000971					A.Hipp #2015016 (repeat of OAK-MOR-905 & 906)	Quercus viminea		9/25/2015	9.73		3.47								100	50							Phylogeny of the Oaks of the Americas (2012)			
OAK-MOR-000972					Murphy Westwood 490-2002*4 (for CBG)	Quercus georgiana		9/25/2015	9.41		5.94								100	50							Extract for Chicago Botanic Gardens project			
OAK-MOR-000973					Murphy Westwood - Starhill forest Arb accession 1994-OO? (for CBG)	Quercus georgiana		9/25/2015	43.7		23.2								100	50							Extract for Chicago Botanic Gardens project			
OAK-MOR-000974					1995121	Quercus baloot	Marco Cosimo Simeone (PK)	9/25/2015	15.4		3.09								100	50						collected Aug 22-23rd, 2015	European oaks			
OAK-MOR-000975					19990004	Quercus floribunda	Marco Cosimo Simeone (PK)	9/25/2015	19.6		5.12								100	50						collected Aug 22-23rd, 2015	European oaks			
OAK-MOR-000976					1976087	Quercus semecarpifolia	Marco Cosimo Simeone (CN)	9/25/2015	9.81		2.79								100	50						collected Aug 22-23rd, 2015	European oaks			
OAK-MOR-000977					1998038	Quercus pseudosemecarpifolia	Marco Cosimo Simeone (CN)	9/25/2015	17.8		6.03								100	50						collected Aug 22-23rd, 2015	European oaks			
OAK-MOR-000978					1998037	Quercus dolicholepis	Marco Cosimo Simeone (CN)	9/25/2015	11.3		3.46								100	50						collected Aug 22-23rd, 2015	European oaks			
OAK-MOR-000979					1999038	Quercus aucheri	Marco Cosimo Simeone (TR)	9/25/2015	12.6		3.76								100	50						collected Aug 22-23rd, 2015	European oaks			
OAK-MOR-000980					2001066	Quercus ilex ssp. rotundifolia	Marco Cosimo Simeone (ES)	9/25/2015	15.1		1.79								100	50						collected Aug 22-23rd, 2015	European oaks			
OAK-MOR-000981					1998039	Quercus variabilis	Marco Cosimo Simeone (CN)	9/25/2015	22.2		10.8								100	50						collected Aug 22-23rd, 2015	European oaks			
OAK-MOR-000982					1981169	Quercus chenii	Marco Cosimo Simeone (CN)	9/25/2015	11.1		4.18								100	50						collected Aug 22-23rd, 2015	European oaks			
OAK-MOR-000983					1977224	Quercus afares	Marco Cosimo Simeone (Tun)	9/25/2015	26.8		1.71								100	50						collected Aug 22-23rd, 2015	European oaks			
OAK-MOR-000984					1977448	Quercus castaneifolia	Marco Cosimo Simeone (IR)	9/25/2015	5.64		4								100	50						collected Aug 22-23rd, 2015	European oaks			
OAK-MOR-000985					1994117	Quercus suber	Marco Cosimo Simeone (PT)	9/25/2015	41.3		9.75								100	50						collected Aug 22-23rd, 2015	European oaks			
